GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-artifact-id,default,AVLTree.Node,0,9,0,0,0,3,0,1,0,1
maven-artifact-id,default,AVLTree,7,308,2,38,1,69,2,33,0,15
